['./data_Aug/CT/100.jpg' './data_Aug/Label/100.jpg']
['./data_Aug/CT/333.jpg' './data_Aug/Label/333.jpg']
['./data_Aug/CT/695.jpg' './data_Aug/Label/695.jpg']
['./data_Aug/CT/377.jpg' './data_Aug/Label/377.jpg']
['./data_Aug/CT/97.jpg' './data_Aug/Label/97.jpg']
['./data_Aug/CT/553.jpg' './data_Aug/Label/553.jpg']
['./data_Aug/CT/721.jpg' './data_Aug/Label/721.jpg']
['./data_Aug/CT/317.jpg' './data_Aug/Label/317.jpg']
['./data_Aug/CT/11.jpg' './data_Aug/Label/11.jpg']
['./data_Aug/CT/155.jpg' './data_Aug/Label/155.jpg']
['./data_Aug/CT/103.jpg' './data_Aug/Label/103.jpg']
['./data_Aug/CT/611.jpg' './data_Aug/Label/611.jpg']
['./data_Aug/CT/454.jpg' './data_Aug/Label/454.jpg']
['./data_Aug/CT/147.jpg' './data_Aug/Label/147.jpg']
['./data_Aug/CT/833.jpg' './data_Aug/Label/833.jpg']
['./data_Aug/CT/226.jpg' './data_Aug/Label/226.jpg']
['./data_Aug/CT/118.jpg' './data_Aug/Label/118.jpg']
['./data_Aug/CT/965.jpg' './data_Aug/Label/965.jpg']
['./data_Aug/CT/453.jpg' './data_Aug/Label/453.jpg']
['./data_Aug/CT/214.jpg' './data_Aug/Label/214.jpg']
['./data_Aug/CT/769.jpg' './data_Aug/Label/769.jpg']
['./data_Aug/CT/174.jpg' './data_Aug/Label/174.jpg']
['./data_Aug/CT/54.jpg' './data_Aug/Label/54.jpg']
['./data_Aug/CT/142.jpg' './data_Aug/Label/142.jpg']
['./data_Aug/CT/552.jpg' './data_Aug/Label/552.jpg']
['./data_Aug/CT/338.jpg' './data_Aug/Label/338.jpg']
['./data_Aug/CT/661.jpg' './data_Aug/Label/661.jpg']
['./data_Aug/CT/606.jpg' './data_Aug/Label/606.jpg']
['./data_Aug/CT/171.jpg' './data_Aug/Label/171.jpg']
['./data_Aug/CT/702.jpg' './data_Aug/Label/702.jpg']
['./data_Aug/CT/265.jpg' './data_Aug/Label/265.jpg']
['./data_Aug/CT/708.jpg' './data_Aug/Label/708.jpg']
['./data_Aug/CT/81.jpg' './data_Aug/Label/81.jpg']
['./data_Aug/CT/485.jpg' './data_Aug/Label/485.jpg']
['./data_Aug/CT/473.jpg' './data_Aug/Label/473.jpg']
['./data_Aug/CT/628.jpg' './data_Aug/Label/628.jpg']
['./data_Aug/CT/55.jpg' './data_Aug/Label/55.jpg']
['./data_Aug/CT/225.jpg' './data_Aug/Label/225.jpg']
['./data_Aug/CT/704.jpg' './data_Aug/Label/704.jpg']
['./data_Aug/CT/309.jpg' './data_Aug/Label/309.jpg']
['./data_Aug/CT/252.jpg' './data_Aug/Label/252.jpg']
['./data_Aug/CT/513.jpg' './data_Aug/Label/513.jpg']
['./data_Aug/CT/442.jpg' './data_Aug/Label/442.jpg']
['./data_Aug/CT/436.jpg' './data_Aug/Label/436.jpg']
['./data_Aug/CT/346.jpg' './data_Aug/Label/346.jpg']
['./data_Aug/CT/849.jpg' './data_Aug/Label/849.jpg']
['./data_Aug/CT/540.jpg' './data_Aug/Label/540.jpg']
['./data_Aug/CT/856.jpg' './data_Aug/Label/856.jpg']
['./data_Aug/CT/547.jpg' './data_Aug/Label/547.jpg']
['./data_Aug/CT/463.jpg' './data_Aug/Label/463.jpg']
['./data_Aug/CT/534.jpg' './data_Aug/Label/534.jpg']
['./data_Aug/CT/186.jpg' './data_Aug/Label/186.jpg']
['./data_Aug/CT/750.jpg' './data_Aug/Label/750.jpg']
['./data_Aug/CT/227.jpg' './data_Aug/Label/227.jpg']
['./data_Aug/CT/771.jpg' './data_Aug/Label/771.jpg']
['./data_Aug/CT/659.jpg' './data_Aug/Label/659.jpg']
['./data_Aug/CT/544.jpg' './data_Aug/Label/544.jpg']
['./data_Aug/CT/952.jpg' './data_Aug/Label/952.jpg']
['./data_Aug/CT/323.jpg' './data_Aug/Label/323.jpg']
['./data_Aug/CT/964.jpg' './data_Aug/Label/964.jpg']
['./data_Aug/CT/791.jpg' './data_Aug/Label/791.jpg']
['./data_Aug/CT/56.jpg' './data_Aug/Label/56.jpg']
['./data_Aug/CT/557.jpg' './data_Aug/Label/557.jpg']
['./data_Aug/CT/763.jpg' './data_Aug/Label/763.jpg']
['./data_Aug/CT/137.jpg' './data_Aug/Label/137.jpg']
['./data_Aug/CT/533.jpg' './data_Aug/Label/533.jpg']
['./data_Aug/CT/937.jpg' './data_Aug/Label/937.jpg']
['./data_Aug/CT/187.jpg' './data_Aug/Label/187.jpg']
['./data_Aug/CT/683.jpg' './data_Aug/Label/683.jpg']
['./data_Aug/CT/943.jpg' './data_Aug/Label/943.jpg']
['./data_Aug/CT/435.jpg' './data_Aug/Label/435.jpg']
['./data_Aug/CT/71.jpg' './data_Aug/Label/71.jpg']
['./data_Aug/CT/888.jpg' './data_Aug/Label/888.jpg']
['./data_Aug/CT/742.jpg' './data_Aug/Label/742.jpg']
['./data_Aug/CT/202.jpg' './data_Aug/Label/202.jpg']
['./data_Aug/CT/348.jpg' './data_Aug/Label/348.jpg']
['./data_Aug/CT/969.jpg' './data_Aug/Label/969.jpg']
['./data_Aug/CT/859.jpg' './data_Aug/Label/859.jpg']
['./data_Aug/CT/273.jpg' './data_Aug/Label/273.jpg']
['./data_Aug/CT/245.jpg' './data_Aug/Label/245.jpg']
['./data_Aug/CT/308.jpg' './data_Aug/Label/308.jpg']
['./data_Aug/CT/509.jpg' './data_Aug/Label/509.jpg']
['./data_Aug/CT/526.jpg' './data_Aug/Label/526.jpg']
['./data_Aug/CT/735.jpg' './data_Aug/Label/735.jpg']
['./data_Aug/CT/525.jpg' './data_Aug/Label/525.jpg']
['./data_Aug/CT/730.jpg' './data_Aug/Label/730.jpg']
['./data_Aug/CT/693.jpg' './data_Aug/Label/693.jpg']
['./data_Aug/CT/880.jpg' './data_Aug/Label/880.jpg']
['./data_Aug/CT/903.jpg' './data_Aug/Label/903.jpg']
['./data_Aug/CT/845.jpg' './data_Aug/Label/845.jpg']
['./data_Aug/CT/665.jpg' './data_Aug/Label/665.jpg']
['./data_Aug/CT/420.jpg' './data_Aug/Label/420.jpg']
['./data_Aug/CT/275.jpg' './data_Aug/Label/275.jpg']
['./data_Aug/CT/566.jpg' './data_Aug/Label/566.jpg']
['./data_Aug/CT/797.jpg' './data_Aug/Label/797.jpg']
['./data_Aug/CT/143.jpg' './data_Aug/Label/143.jpg']
['./data_Aug/CT/823.jpg' './data_Aug/Label/823.jpg']
['./data_Aug/CT/408.jpg' './data_Aug/Label/408.jpg']
['./data_Aug/CT/891.jpg' './data_Aug/Label/891.jpg']
['./data_Aug/CT/37.jpg' './data_Aug/Label/37.jpg']
['./data_Aug/CT/927.jpg' './data_Aug/Label/927.jpg']
['./data_Aug/CT/184.jpg' './data_Aug/Label/184.jpg']
['./data_Aug/CT/278.jpg' './data_Aug/Label/278.jpg']
['./data_Aug/CT/427.jpg' './data_Aug/Label/427.jpg']
['./data_Aug/CT/950.jpg' './data_Aug/Label/950.jpg']
['./data_Aug/CT/890.jpg' './data_Aug/Label/890.jpg']
['./data_Aug/CT/217.jpg' './data_Aug/Label/217.jpg']
['./data_Aug/CT/127.jpg' './data_Aug/Label/127.jpg']
['./data_Aug/CT/760.jpg' './data_Aug/Label/760.jpg']
['./data_Aug/CT/80.jpg' './data_Aug/Label/80.jpg']
['./data_Aug/CT/286.jpg' './data_Aug/Label/286.jpg']
['./data_Aug/CT/440.jpg' './data_Aug/Label/440.jpg']
['./data_Aug/CT/626.jpg' './data_Aug/Label/626.jpg']
['./data_Aug/CT/322.jpg' './data_Aug/Label/322.jpg']
['./data_Aug/CT/292.jpg' './data_Aug/Label/292.jpg']
['./data_Aug/CT/940.jpg' './data_Aug/Label/940.jpg']
['./data_Aug/CT/684.jpg' './data_Aug/Label/684.jpg']
['./data_Aug/CT/541.jpg' './data_Aug/Label/541.jpg']
['./data_Aug/CT/460.jpg' './data_Aug/Label/460.jpg']
['./data_Aug/CT/586.jpg' './data_Aug/Label/586.jpg']
['./data_Aug/CT/825.jpg' './data_Aug/Label/825.jpg']
['./data_Aug/CT/682.jpg' './data_Aug/Label/682.jpg']
['./data_Aug/CT/961.jpg' './data_Aug/Label/961.jpg']
['./data_Aug/CT/136.jpg' './data_Aug/Label/136.jpg']
['./data_Aug/CT/889.jpg' './data_Aug/Label/889.jpg']
['./data_Aug/CT/487.jpg' './data_Aug/Label/487.jpg']
['./data_Aug/CT/868.jpg' './data_Aug/Label/868.jpg']
['./data_Aug/CT/601.jpg' './data_Aug/Label/601.jpg']
['./data_Aug/CT/178.jpg' './data_Aug/Label/178.jpg']
['./data_Aug/CT/114.jpg' './data_Aug/Label/114.jpg']
['./data_Aug/CT/330.jpg' './data_Aug/Label/330.jpg']
['./data_Aug/CT/796.jpg' './data_Aug/Label/796.jpg']
['./data_Aug/CT/886.jpg' './data_Aug/Label/886.jpg']
['./data_Aug/CT/904.jpg' './data_Aug/Label/904.jpg']
['./data_Aug/CT/814.jpg' './data_Aug/Label/814.jpg']
['./data_Aug/CT/350.jpg' './data_Aug/Label/350.jpg']
['./data_Aug/CT/472.jpg' './data_Aug/Label/472.jpg']
['./data_Aug/CT/439.jpg' './data_Aug/Label/439.jpg']
['./data_Aug/CT/920.jpg' './data_Aug/Label/920.jpg']
['./data_Aug/CT/570.jpg' './data_Aug/Label/570.jpg']
['./data_Aug/CT/94.jpg' './data_Aug/Label/94.jpg']
['./data_Aug/CT/140.jpg' './data_Aug/Label/140.jpg']
['./data_Aug/CT/504.jpg' './data_Aug/Label/504.jpg']
['./data_Aug/CT/385.jpg' './data_Aug/Label/385.jpg']
['./data_Aug/CT/926.jpg' './data_Aug/Label/926.jpg']
['./data_Aug/CT/305.jpg' './data_Aug/Label/305.jpg']
['./data_Aug/CT/564.jpg' './data_Aug/Label/564.jpg']
['./data_Aug/CT/757.jpg' './data_Aug/Label/757.jpg']
['./data_Aug/CT/993.jpg' './data_Aug/Label/993.jpg']
['./data_Aug/CT/381.jpg' './data_Aug/Label/381.jpg']
['./data_Aug/CT/387.jpg' './data_Aug/Label/387.jpg']
['./data_Aug/CT/574.jpg' './data_Aug/Label/574.jpg']
['./data_Aug/CT/575.jpg' './data_Aug/Label/575.jpg']
['./data_Aug/CT/448.jpg' './data_Aug/Label/448.jpg']
['./data_Aug/CT/858.jpg' './data_Aug/Label/858.jpg']
['./data_Aug/CT/725.jpg' './data_Aug/Label/725.jpg']
['./data_Aug/CT/545.jpg' './data_Aug/Label/545.jpg']
['./data_Aug/CT/740.jpg' './data_Aug/Label/740.jpg']
['./data_Aug/CT/527.jpg' './data_Aug/Label/527.jpg']
['./data_Aug/CT/93.jpg' './data_Aug/Label/93.jpg']
['./data_Aug/CT/255.jpg' './data_Aug/Label/255.jpg']
['./data_Aug/CT/329.jpg' './data_Aug/Label/329.jpg']
['./data_Aug/CT/933.jpg' './data_Aug/Label/933.jpg']
['./data_Aug/CT/496.jpg' './data_Aug/Label/496.jpg']
['./data_Aug/CT/8.jpg' './data_Aug/Label/8.jpg']
['./data_Aug/CT/897.jpg' './data_Aug/Label/897.jpg']
['./data_Aug/CT/655.jpg' './data_Aug/Label/655.jpg']
['./data_Aug/CT/224.jpg' './data_Aug/Label/224.jpg']
['./data_Aug/CT/216.jpg' './data_Aug/Label/216.jpg']
['./data_Aug/CT/915.jpg' './data_Aug/Label/915.jpg']
['./data_Aug/CT/374.jpg' './data_Aug/Label/374.jpg']
['./data_Aug/CT/98.jpg' './data_Aug/Label/98.jpg']
['./data_Aug/CT/834.jpg' './data_Aug/Label/834.jpg']
['./data_Aug/CT/824.jpg' './data_Aug/Label/824.jpg']
['./data_Aug/CT/944.jpg' './data_Aug/Label/944.jpg']
['./data_Aug/CT/984.jpg' './data_Aug/Label/984.jpg']
['./data_Aug/CT/389.jpg' './data_Aug/Label/389.jpg']
['./data_Aug/CT/910.jpg' './data_Aug/Label/910.jpg']
['./data_Aug/CT/908.jpg' './data_Aug/Label/908.jpg']
['./data_Aug/CT/347.jpg' './data_Aug/Label/347.jpg']
['./data_Aug/CT/366.jpg' './data_Aug/Label/366.jpg']
['./data_Aug/CT/239.jpg' './data_Aug/Label/239.jpg']
['./data_Aug/CT/871.jpg' './data_Aug/Label/871.jpg']
['./data_Aug/CT/556.jpg' './data_Aug/Label/556.jpg']
['./data_Aug/CT/911.jpg' './data_Aug/Label/911.jpg']
['./data_Aug/CT/204.jpg' './data_Aug/Label/204.jpg']
['./data_Aug/CT/450.jpg' './data_Aug/Label/450.jpg']
['./data_Aug/CT/724.jpg' './data_Aug/Label/724.jpg']
['./data_Aug/CT/321.jpg' './data_Aug/Label/321.jpg']
['./data_Aug/CT/76.jpg' './data_Aug/Label/76.jpg']
['./data_Aug/CT/737.jpg' './data_Aug/Label/737.jpg']
['./data_Aug/CT/699.jpg' './data_Aug/Label/699.jpg']
['./data_Aug/CT/120.jpg' './data_Aug/Label/120.jpg']
['./data_Aug/CT/617.jpg' './data_Aug/Label/617.jpg']
['./data_Aug/CT/87.jpg' './data_Aug/Label/87.jpg']
['./data_Aug/CT/844.jpg' './data_Aug/Label/844.jpg']
['./data_Aug/CT/314.jpg' './data_Aug/Label/314.jpg']
['./data_Aug/CT/61.jpg' './data_Aug/Label/61.jpg']
['./data_Aug/CT/510.jpg' './data_Aug/Label/510.jpg']
['./data_Aug/CT/832.jpg' './data_Aug/Label/832.jpg']
['./data_Aug/CT/761.jpg' './data_Aug/Label/761.jpg']
['./data_Aug/CT/662.jpg' './data_Aug/Label/662.jpg']
['./data_Aug/CT/302.jpg' './data_Aug/Label/302.jpg']
['./data_Aug/CT/342.jpg' './data_Aug/Label/342.jpg']
['./data_Aug/CT/705.jpg' './data_Aug/Label/705.jpg']
['./data_Aug/CT/535.jpg' './data_Aug/Label/535.jpg']
['./data_Aug/CT/340.jpg' './data_Aug/Label/340.jpg']
['./data_Aug/CT/676.jpg' './data_Aug/Label/676.jpg']
['./data_Aug/CT/84.jpg' './data_Aug/Label/84.jpg']
['./data_Aug/CT/631.jpg' './data_Aug/Label/631.jpg']
['./data_Aug/CT/301.jpg' './data_Aug/Label/301.jpg']
['./data_Aug/CT/841.jpg' './data_Aug/Label/841.jpg']
['./data_Aug/CT/135.jpg' './data_Aug/Label/135.jpg']
['./data_Aug/CT/459.jpg' './data_Aug/Label/459.jpg']
['./data_Aug/CT/10.jpg' './data_Aug/Label/10.jpg']
['./data_Aug/CT/808.jpg' './data_Aug/Label/808.jpg']
['./data_Aug/CT/694.jpg' './data_Aug/Label/694.jpg']
['./data_Aug/CT/766.jpg' './data_Aug/Label/766.jpg']
['./data_Aug/CT/573.jpg' './data_Aug/Label/573.jpg']
['./data_Aug/CT/939.jpg' './data_Aug/Label/939.jpg']
['./data_Aug/CT/284.jpg' './data_Aug/Label/284.jpg']
['./data_Aug/CT/922.jpg' './data_Aug/Label/922.jpg']
['./data_Aug/CT/489.jpg' './data_Aug/Label/489.jpg']
['./data_Aug/CT/479.jpg' './data_Aug/Label/479.jpg']
['./data_Aug/CT/69.jpg' './data_Aug/Label/69.jpg']
['./data_Aug/CT/642.jpg' './data_Aug/Label/642.jpg']
['./data_Aug/CT/651.jpg' './data_Aug/Label/651.jpg']
['./data_Aug/CT/99.jpg' './data_Aug/Label/99.jpg']
['./data_Aug/CT/874.jpg' './data_Aug/Label/874.jpg']
['./data_Aug/CT/549.jpg' './data_Aug/Label/549.jpg']
['./data_Aug/CT/780.jpg' './data_Aug/Label/780.jpg']
['./data_Aug/CT/164.jpg' './data_Aug/Label/164.jpg']
